Trial,Colony,Day,TrialOnDay,DOW,Date,Hatch,Age,Host,Species,Country,Hu,Time,N,N_Alt,N_Hu,Flow,Notes,Population
74,FCV2,6,11,Th,26-Apr,30-Mar,13,Mbili,GP,Kenya,R,4:10,100,44,0,0.61,,FCV
75,LF,6,12,Th,26-Apr,30-Mar,13,Mbili,GP,Kenya,R,4:30,80,19,2,0.61,,LPF
76,VR11-20B,7,11,F,27-Apr,30-Mar,14,Moja,GP,Gabon,R,2:30,100,16,13,0.62,,RAB
77,FR11-20B,7,8,F,27-Apr,30-Mar,14,Moja,GP,Gabon,R,1:20,100,33,11,0.63,,KBO
78,VA11-20,7,2,F,27-Apr,30-Mar,14,Moja,GP,Gabon,R,8:00,25,2,0,0.63,,GND
79,FA21-40,7,13,F,27-Apr,30-Mar,14,Moja,GP,Gabon,R,3:10,81,11,3,0.62,,ABK
80,VS11-20,7,3,F,27-Apr,30-Mar,14,Moja,GP,Kenya,R,8:20,68,11,7,0.63,,KWA
81,FS11-40,7,6,F,27-Apr,30-Mar,14,Moja,GP,Kenya,R,9:30,100,31,14,0.62,,SHM
82,CK6-15,7,7,F,27-Apr,30-Mar,14,Moja,GP,Kenya,R,1:00,100,41,9,0.63,,KAK
83,VK11-20,7,5,F,27-Apr,30-Mar,14,Moja,GP,Kenya,R,9:10,94,11,14,0.62,,VMB
84,VK30-40,7,9,F,27-Apr,30-Mar,14,Moja,GP,Kenya,R,1:40,47,17,3,0.63,,SYL
85,LV23-40,7,10,F,27-Apr,30-Mar,14,Moja,GP,Kenya,R,2:10,100,20,8,0.62,,LPV
86,LBV2,7,1,F,27-Apr,30-Mar,14,Moja,GP,Kenya,R,7:40,100,22,8,0.63,,LBV
87,FCV2,7,4,F,27-Apr,30-Mar,14,Moja,GP,Kenya,R,8:40,100,28,4,0.62,,FCV
88,LF,7,12,F,27-Apr,30-Mar,14,Moja,GP,Kenya,R,2:50,57,5,0,0.62,,LPF
89,ORL,8,6,F,1-Feb,14-Jan,10,Moja,GP,USA,L,10:30,58,0,58,0.61,,ORL
90,U52,8,1,F,1-Feb,14-Jan,10,Moja,GP,Uganda,L,9:00,68,18,5,0.69,,ZIK
91,VR1-10B,8,12,F,1-Feb,14-Jan,10,Moja,GP,Kenya,L,1:20,65,7,3,0.61,,RAB
92,VK1-10,8,2,F,1-Feb,14-Jan,10,Moja,GP,Kenya,L,9:25,70,19,1,0.61,1 poop,VMB
93,FCV1,8,3,F,1-Feb,14-Jan,10,Moja,GP,Gabon,L,9:45,70,5,3,0.61,,FCV
94,LBV1,8,18,F,1-Feb,14-Jan,10,Moja,GP,Gabon,L,3:40,65,4,4,0.61,,LBV
95,KIN1-40,8,16,F,1-Feb,14-Jan,10,Moja,GP,Ghana,L,3:00,58,11,13,0.61,,KIN
96,KUM1-40,8,9,F,1-Feb,14-Jan,10,Moja,GP,Ghana,L,11:40,50,4,11,0.61,,KUM
97,BOA,8,5,F,1-Feb,14-Jan,10,Moja,GP,Ghana,L,10:10,65,5,3,0.61,,BOA
98,OGDT,8,17,F,1-Feb,14-Jan,10,Moja,GP,BurkinaFaso,L,3:20,70,7,33,0.61,,OGD
99,OHI1-30,8,10,F,1-Feb,14-Jan,10,Moja,GP,BurkinaFaso,L,12:00,70,9,9,0.61,,OHI
100,AWK1-50B,8,13,F,1-Feb,14-Jan,10,Moja,GP,Nigeria,L,1:40,70,2,3,0.61,,AWK
101,KED1-10,8,14,F,1-Feb,14-Jan,10,Moja,GP,Senegal,L,2:00,49,5,3,0.61,,KED
102,MIN1-10,8,8,F,1-Feb,14-Jan,10,Moja,GP,Senegal,L,11:20,70,7,8,0.61,,MIN
103,NGO1-15,8,7,F,1-Feb,14-Jan,10,Moja,GP,Senegal,L,11:00,70,1,57,0.61,,NGO
104,THI1-13,8,15,F,1-Feb,14-Jan,10,Moja,GP,Senegal,L,2:40,65,4,25,0.61,,THI
105,BTTB1,8,11,F,1-Feb,14-Jan,10,Moja,GP,Senegal,L,1:00,62,4,2,0.61,,BTT
106,PKT1-30,8,4,F,1-Feb,14-Jan,10,Moja,GP,Senegal,L,10:00,69,10,5,0.62,,PKT
107,ORL,9,9,S,2-Feb,14-Jan,11,Mbili,GP,USA,R,11:45,55,0,48,0.63,,ORL
108,U52,9,13,S,2-Feb,14-Jan,11,Mbili,GP,Uganda,R,1:40,60,4,4,0.63,,ZIK
109,VR1-10B,9,15,S,2-Feb,14-Jan,11,Mbili,GP,Kenya,R,2:20,64,20,3,0.63,,RAB
110,VK1-10,9,1,S,2-Feb,14-Jan,11,Mbili,GP,Kenya,R,8:50,68,20,6,0.63,,VMB
111,FCV1,9,17,S,2-Feb,14-Jan,11,Mbili,GP,Gabon,R,3:00,70,4,4,0.63,,FCV
112,LBV1,9,8,S,2-Feb,14-Jan,11,Mbili,GP,Gabon,R,11:15,70,16,0,0.63,,LBV
113,KIN1-40,9,2,S,2-Feb,14-Jan,11,Mbili,GP,Ghana,R,9:10,81,17,13,0.63,,KIN
114,KUM1-40,9,6,S,2-Feb,14-Jan,11,Mbili,GP,Ghana,R,10:30,50,17,6,0.63,,KUM
115,BOA,9,7,S,2-Feb,14-Jan,11,Mbili,GP,Ghana,R,11:00,56,3,1,0.63,,BOA
116,OGDT,9,10,S,2-Feb,14-Jan,11,Mbili,GP,BurkinaFaso,R,12:30,73,9,31,0.64,,OGD
117,OHI1-30,9,5,S,2-Feb,14-Jan,11,Mbili,GP,BurkinaFaso,R,10:10,89,14,3,0.63,,OHI
118,AWK1-50B,9,18,S,2-Feb,14-Jan,11,Mbili,GP,Nigeria,R,3:20,65,3,0,0.63,,AWK
119,KED1-10,9,3,S,2-Feb,14-Jan,11,Mbili,GP,Senegal,R,9:30,55,4,4,0.64,,KED
120,MIN1-10,9,12,S,2-Feb,14-Jan,11,Mbili,GP,Senegal,R,1:10,64,2,2,0.63,,MIN
121,NGO1-15,9,11,S,2-Feb,14-Jan,11,Mbili,GP,Senegal,R,12:50,76,10,41,0.63,,NGO
122,THI1-13,9,14,S,2-Feb,14-Jan,11,Mbili,GP,Senegal,R,2:00,35,7,11,0.63,,THI
123,BTTB1,9,16,S,2-Feb,14-Jan,11,Mbili,GP,Senegal,R,2:40,61,7,2,0.63,,BTT
124,PKT1-30,9,4,S,2-Feb,14-Jan,11,Mbili,GP,Senegal,R,9:59,61,9,1,0.63,,PKT
125,ORL,10,13,Su,3-Feb,14-Jan,12,Moja,GP,USA,R,11:30,55,7,48,0.63,,ORL
126,U52,10,12,Su,3-Feb,14-Jan,12,Moja,GP,Uganda,R,11:10,62,14,1,0.63,,ZIK
127,VR1-10B,10,16,Su,3-Feb,14-Jan,12,Moja,GP,Kenya,R,12:10,64,17,3,0.63,,RAB
128,VK1-10,10,11,Su,3-Feb,14-Jan,12,Moja,GP,Kenya,R,10:50,68,22,0,0.63,,VMB
129,FCV1,10,3,Su,3-Feb,14-Jan,12,Moja,GP,Gabon,R,7:40,78,28,0,0.67,,FCV
130,LBV1,10,6,Su,3-Feb,14-Jan,12,Moja,GP,Gabon,R,8:30,62,17,0,0.67,,LBV
131,KIN1-40,10,10,Su,3-Feb,14-Jan,12,Moja,GP,Ghana,R,10:30,80,33,4,0.66,,KIN
